Scientific,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,Activity.Nocturnal,Activity.Crepuscular,Activity.Diurnal,BodyMass.Value,Scientific2,genus,common_name,litter_or_clutch_size_n,litters_or_clutches_per_y,adult_body_mass_g,maximum_longevity_y,gestation_d,longevity_y,adult_svl_cm,offspring.peryear
Spermophilus armatus,20,0,0,0,0,0,0,0,40,40,0,0,1,313,Spermophilus armatus,Spermophilus,Uinta Ground Squirrel,5.45,1,310.4,7,24.04444,5,31.275,5.45
Spermophilus beecheyi,20,0,0,0,0,0,0,0,40,40,0,0,1,578.5,Spermophilus beecheyi,Spermophilus,California Ground Squirrel,6.71,1,599.6,5.408333333,28.5,5.204166667,40.6,6.71
Spermophilus franklinii,20,0,0,0,0,0,0,0,40,40,0,0,1,363,Spermophilus franklinii,Spermophilus,Franklin's Ground Squirrel,7.9,1,459,7.2,28,7.175,32.5805,7.9
Spermophilus parryii,20,0,0,0,0,0,0,0,40,40,0,0,1,759.99,Spermophilus parryii,Spermophilus,Arctic Ground Squirrel,6.3,1,747.09,2.575,25.16,2.575,34.246,6.3
Spermophilus richardsonii,20,0,0,0,0,0,0,0,40,40,0,0,1,406,Spermophilus richardsonii,Spermophilus,Richardson's Ground Squirrel,7.23,1,273.535,6,22.8,4.995833333,30.8485,7.23
Spermophilus spilosoma,20,0,0,0,0,0,0,0,40,40,0,0,1,89,Spermophilus spilosoma,Spermophilus,Spotted Ground Squirrel,6.77,1.875,164.1,3.658333333,28,3.658333333,27.575,12.69375
Spermophilus tereticaudus,20,0,0,0,0,0,0,0,40,40,0,0,1,156.5,Spermophilus tereticaudus,Spermophilus,Round-tailed Ground Squirrel,5.855,1,147.57,8.9,27.785,8.9,28.0265,5.855
Spermophilus variegatus,20,0,0,0,0,0,0,0,40,40,0,0,1,691.64,Spermophilus variegatus,Spermophilus,Rock Squirrel,4.5,1.5,663.03,9.816666667,30,9.808333333,33.975,6.75
Sylvilagus audubonii,0,0,0,0,0,0,0,0,0,100,1,1,0,889.63,Sylvilagus audubonii,Sylvilagus,Desert Cottontail,3,5,791.29,7.816666667,28.60984,7.808333333,35.262,15
Sylvilagus floridanus,0,0,0,0,0,0,0,0,0,100,1,1,0,1172.79,Sylvilagus floridanus,Sylvilagus,Eastern Cottontail,5,3.9,1178.595,9.8,28.6962,9,40.05,19.5
